local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Cerebral palsy,Cerebral palsy,condition,MONDO Code,condition_description,0006497,cerebral palsy,http://purl.obolibrary.org/obo/mondo.owl,
Chronic cough,Chronic cough,condition,HPO Code,condition_description,0034315,Chronic cough,http://purl.obolibrary.org/obo/hp.owl,
Chronic rhinitis,Chronic rhinitis,condition,MONDO Code,condition_description,0004514,chronic rhinitis,http://purl.obolibrary.org/obo/mondo.owl,
Scoliosis or other spine curvature,Scoliosis or other spine curvature,condition,MONDO Code,condition_description,0000726,idiopathic scoliosis,http://purl.obolibrary.org/obo/mondo.owl,
Rosacea,Rosacea,condition,MONDO Code,condition_description,0006604,rosacea,http://purl.obolibrary.org/obo/mondo.owl,
Astigmatism,Astigmatism,condition,MONDO Code,condition_description,0011284,astigmatism,http://purl.obolibrary.org/obo/mondo.owl,
Asthma,Asthma,condition,MONDO Code,condition_description,0004979,asthma,http://purl.obolibrary.org/obo/mondo.owl,
Blindness,Blindness,condition,MONDO Code,condition_description,0001941,blindness (disorder),http://purl.obolibrary.org/obo/mondo.owl,
Hernia,Hernia,condition,MONDO Code,condition_description,0007721,hiatus hernia,http://purl.obolibrary.org/obo/mondo.owl,
Hearing loss,Hearing loss,condition,MONDO Code,condition_description,0005365,hearing loss disorder,http://purl.obolibrary.org/obo/mondo.owl,
Anemia,Anemia,condition,MONDO Code,condition_description,0002280,anemia,http://purl.obolibrary.org/obo/mondo.owl,
Autism,Autism,condition,MONDO Code,condition_description,0005260,autism,http://purl.obolibrary.org/obo/mondo.owl,
Recurrent otitis media,Recurrent otitis media,condition,MONDO Code,condition_description,0005441,otitis media,http://purl.obolibrary.org/obo/mondo.owl,
Obstructive Sleep Apnea,Obstructive Sleep Apnea,condition,MONDO Code,condition_description,0007147,obstructive sleep apnea syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Post Traumatic Stress Disorder (PTSD),Post Traumatic Stress Disorder (PTSD),condition,MONDO Code,condition_description,0005146,post-traumatic stress disorder,http://purl.obolibrary.org/obo/mondo.owl,
Leukemoid reaction,Leukemoid reaction,condition,MONDO Code,condition_description,0006829,leukemoid reaction,http://purl.obolibrary.org/obo/mondo.owl,
acute myocardial infarction,acute myocardial infarction,condition,MONDO Code,condition_description,0004781,acute myocardial infarction,http://purl.obolibrary.org/obo/mondo.owl,
ToF,ToF,condition,MONDO Code,condition_description,0008542,tetralogy of fallot,http://purl.obolibrary.org/obo/mondo.owl,
Graves disease,Graves disease,condition,MONDO Code,condition_description,0005364,Graves disease,http://purl.obolibrary.org/obo/mondo.owl,
Cardiac Condition - Current or Previous,Cardiac Condition - Current or Previous,condition,MONDO Code,condition_description,0004995,cardiovascular disorder,http://purl.obolibrary.org/obo/mondo.owl,
Fatty liver,Fatty liver,condition,MONDO Code,condition_description,0004790,fatty liver disease,http://purl.obolibrary.org/obo/mondo.owl,
Amblyopia,Amblyopia,condition,MONDO Code,condition_description,0001020,amblyopia,http://purl.obolibrary.org/obo/mondo.owl,
Keratoconus,Keratoconus,condition,MONDO Code,condition_description,0015486,keratoconus,http://purl.obolibrary.org/obo/mondo.owl,
Vitamin D deficiency,Vitamin D deficiency,condition,MONDO Code,condition_description,0100471,vitamin D deficiency,http://purl.obolibrary.org/obo/mondo.owl,
Type II (adult onset),Type II (adult onset),condition,MONDO Code,condition_description,0005148,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/mondo.owl,
Myositis,Myositis,condition,MONDO Code,condition_description,0021167,myositis disease,http://purl.obolibrary.org/obo/mondo.owl,
Cardiomyopathy,Cardiomyopathy,condition,MONDO Code,condition_description,0004994,cardiomyopathy,http://purl.obolibrary.org/obo/mondo.owl,
Lichen sclerosus,Lichen sclerosus,condition,MONDO Code,condition_description,0007899,lichen sclerosus et atrophicus,http://purl.obolibrary.org/obo/mondo.owl,
auto_other_specify,auto_other_specify,condition,MONDO Code,condition_description,0007179,autoimmune disease,http://purl.obolibrary.org/obo/mondo.owl,
Parkinson's disease/Parkinsonism,Parkinson's disease/Parkinsonism,condition,MONDO Code,condition_description,0005180,Parkinson disease,http://purl.obolibrary.org/obo/mondo.owl,
Polycystic ovary syndrome (PCOS),Polycystic ovary syndrome (PCOS),condition,MONDO Code,condition_description,0008487,polycystic ovary syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Thrombocytopenic purpura,Thrombocytopenic purpura,condition,MONDO Code,condition_description,0043768,thrombocytopenic purpura,http://purl.obolibrary.org/obo/mondo.owl,
Acute nasopharyngitis,Acute nasopharyngitis,condition,MONDO Code,condition_description,0005709,common cold,http://purl.obolibrary.org/obo/mondo.owl,
Chronic kidney disease,Chronic kidney disease,condition,MONDO Code,condition_description,0005300,chronic kidney disease,http://purl.obolibrary.org/obo/mondo.owl,
Arthritis / Arthropathy,Arthritis / Arthropathy,condition,MONDO Code,condition_description,0005178,osteoarthritis,http://purl.obolibrary.org/obo/mondo.owl,
Urinary incontinence,Urinary incontinence,condition,MONDO Code,condition_description,0006624,overactive bladder,http://purl.obolibrary.org/obo/mondo.owl,
Depression,Depression,condition,MONDO Code,condition_description,0002050,depressive disorder,http://purl.obolibrary.org/obo/mondo.owl,
Hypothyroidism,Hypothyroidism,condition,MONDO Code,condition_description,0005420,hypothyroidism,http://purl.obolibrary.org/obo/mondo.owl,
Achalasia,Achalasia,condition,MONDO Code,condition_description,0008698,achalasia,http://purl.obolibrary.org/obo/mondo.owl,
Specify other blood cancer,Specify other blood cancer,condition,MONDO Code,condition_description,0044881,"hematopoietic and lymphoid cell neoplasm, hematopoietic and lymphoid system neoplasm",http://purl.obolibrary.org/obo/mondo.owl,
Specify other blood cancer,Specify other blood cancer,condition,MONDO Code,condition_description,0002334,"hematopoietic and lymphoid cell neoplasm, hematopoietic and lymphoid system neoplasm",http://purl.obolibrary.org/obo/mondo.owl,
AML,AML,condition,MONDO Code,condition_description,0018874,acute myeloid leukemia,http://purl.obolibrary.org/obo/mondo.owl,
Urinary retention,Urinary retention,condition,HPO Code,condition_description,0000016,Urinary retention,http://purl.obolibrary.org/obo/hp.owl,
Bipolar,Bipolar,condition,MONDO Code,condition_description,0004985,bipolar disorder,http://purl.obolibrary.org/obo/mondo.owl,
